Trigger Level,Shift Period,Burn In,Standstill Percentage,CoCos Price
200,1,0,0,0.829374
200,3,0,0,0.692369
200,5,0,0,0.614086
200,8,0,0,0.544163
200,10,0,0,0.510862
300,1,0,0,0.964741
300,3,0,0,0.918476
300,5,0,0,0.880362
300,8,0,0,0.833501
300,10,0,0,0.80777
400,1,0,0,0.993997
400,3,0,0,0.985027
400,5,0,0,0.976842
400,8,0,0,0.965662
400,10,0,0,0.959208
500,1,0,0,0.998635
500,3,0,0,0.996304
500,5,0,0,0.994238
500,8,0,0,0.991565
500,10,0,0,0.989954
600,1,0,0,0.999599
600,3,0,0,0.99895
600,5,0,0,0.998334
600,8,0,0,0.997563
600,10,0,0,0.997109
