Trigger Level,Shift Period,Burn In,Standstill Percentage,CoCos Price
200,1,0,0,0.969009
200,3,0,0,0.910316
200,5,0,0,0.855784
200,8,0,0,0.781325
200,10,0,0,0.736524
300,1,0,0,0.982116
300,3,0,0,0.948213
300,5,0,0,0.916639
300,8,0,0,0.873713
300,10,0,0,0.847975
400,1,0,0,0.995539
400,3,0,0,0.986968
400,5,0,0,0.979062
400,8,0,0,0.967989
400,10,0,0,0.96134
500,1,0,0,0.998816
500,3,0,0,0.996503
500,5,0,0,0.994425
500,8,0,0,0.991717
500,10,0,0,0.990078
600,1,0,0,0.999634
600,3,0,0,0.99897
600,5,0,0,0.998359
600,8,0,0,0.997586
600,10,0,0,0.997126
